,Index,Name,Tweets,Location,Subcategory,Unnamed: 5
37,128,BBArtMag,"Palazzo Diedo home to Berggruen Arts amp Culture Located in Venice Italys Cannaregio neighborhood rio della Maddalena

httpstcoLlIYhXb",Florida USA ISSN  ,Arts,
38,131,SoraGamergirl,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",,Arts,
39,135,through_t_noise," Italian pianist Simone Alessandro Tavoni returns to Waterloos ArtsClub tonight

Hell perform music by Mozart Chopin and Debussy as well as some more modern compositions including one of his own Tickets include a glass of wine gtgt

httpstcomyPcIeNF",London,Arts,
40,142,AguayoKnight,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",,Arts,
41,144,Zerpergz,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",Final Destination,Arts,
42,145,Boy_In_Yellow,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",,Arts,
43,153,Ikky_Arts,"RT IkkyArts  Fractal Multiverse Collection

Collection of unique fractal lands from the vast fractalverse 
httpstcopngkodOr

",Fractal Multiverse,Arts,
44,166,artsvark,"RT UJArtsCulture The UJ Art Gallery and MTN Foundation is proud to announce the launch of its MTN X UJ New Contemporaries Awards 

Read",South Africa,Arts,
45,177,ShadowTigerRick,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",,Arts,
46,178,Huntergoldmine,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",,Arts,
47,180,Luke_172,Visual Arts Interview Lisa Kesslers Heart in the Wound  Reassessing Sexual Abuse Power and the Catholic Church httpstcoXAxLflCN via theartsfuse,,Arts,
48,181,Ksenia41510489,"RT GemsScope   NFTGiveaway 

Introducing artsdao 
Ethernal Gates by atelierkristel x ArtsDAO

x WL amp  in ETH 

To Ent",Moon,Arts,
49,183,MOCAlosangeles,RT InnerCityArts On April  we invite you to join The Workshop at MOCA a free event at The Geffen Contemporary at MOCAlosangeles where,Los Angeles CA,Arts,
50,189,ElrondZomby,RT MaiarWizards Wizards enjoy the all the Arts magical literary and visual included InaBUltraVArt can be found creating all of the,,Arts,
51,193,AntonioJ31,"Chow Prowlpaw for PandaDay part 
Arts by
Enydimon
thebluebear 
HikazeDragon httpstcoDyXBIc",Pasadena CA,Arts,
52,194,YoriichiBigwin,"RT TikiTuka  Giveaway

Ethernal Gates by atelierkristel x  ArtsDAO

Prize 
  WL
  SOL

To Win
 Follow artsdao amp Ti",,Arts,
53,197,Best_Sellers_UK,Origami Paper for Children  Sheets Origami Arts and Crafts for Kids Aged  paper ad writing poetry novel httpstcoBZcFtIUNW,,Arts,
54,198,QRLinked,Arts Against Addictions Association Charity L   Call  httpstcoMUapZEtEnF,England United Kingdom,Arts,
55,199,WisdomRahman,RT thenightnurse elnathanonline Zim Arts conspiracy theories about the United States presidents Mugabes life especially the relativ,Gwanda Zimbabwe,Arts,
56,201,heya_raccoon,"RT KArikuni KARIKUNI
X
THENJP

Arts are not allowed without permission httpstcoIKlpyesPcG",A very cozy trash can,Arts,
57,203,tixLondon,Polski StandUp w LONDYNIE The Arts Centre Hounslow on Sat  Mar  PM comedy tickets httpstcolRkdjrvdm hounslowarts,London UK,Arts,
58,206,Zugzwane02,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",New Jersey USA,Arts,
59,213,trichomeinc,Elements Music amp Arts Festival Shares  Lineup With REZZ Seth Troxler Nicole Moudaber The Knocks amp Others httpstcoSiyXAQvs httpstcojgPNkrD,Atlanta GA,Arts,
60,214,Mrs_Bowman_30,"RT OilfieldRando Another  million for the National Endowment for the Arts 

Another  million for the National Endowment for the",Omaha NE,Arts,
61,217,jules_vp_,ChyVisualArts Guerrilla PlayStationEU PlayStationNL Woa mindblowing,,Arts,
62,221,MECHIBECHI,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",Frigids DMs,Arts,
63,224,atomic_elbow,trillyrobinson Martial Arts Mania is pretty good,Athens Georgia,Arts,
64,225,rabbids007,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",,Arts,
65,227,TheInnerStage,Happy Wednesday and Creative Arts Therapy week Today we want you reflect on how you can get in touch with your creative side Think back to the creative activities you enjoyed as a child Did you like to draw and paint Did you like to sing Did you enjoy dancing or  httpstcopngPdgwk,NYC,Arts,
66,229,TheGuyBlog,"One of the most intriguingaspectsof Blue PeriodSeason  was how Yatora Yaguchi struggled as a novice artist only to persevere and surpass talented peers and gain acceptance into Tokyo University of the Arts
httpstcopDTsqzZN",Florida USA,Arts,
67,236,geistmag,"Big news this afternoon ArtsForLawrence Executive Director Judy Byron has announced her retirement She has served in the role since July  amp did a fantastic job over the years promoting the arts in LawrenceINcity More below SpotlightingLocal 

httpstcoWlYDAxiri",Fishers IN,Arts,
68,246,GOGOLEEEE,"RT PulseSportsNG  days to FOFN 

Come experience the best of Mixed Martial Arts at the FaceOffFightNight 
Powered by the Nigerian",PEACE,Arts,
69,247,bishopalreese,Now Playing Victory In Praise Music amp Arts Seminar Mass Choir  Bring It To Jesus on httpstcooKHaFXDa,Chicago Illinois,Arts,
70,256,stutter_twitch,"RT AltyArtsCltv First arts move by dottostudio and Oskar with a K stuttertwitch   

altrinchamartsfestival budgeup canisithere d",Altrincham,Arts,
71,257,pixeltoed,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",,Arts,
72,258,BKieltArtist,Opening tomorrow OGHAM in CatalystArts Group show after a  week residency Read about it and the artists here httpstcoOXKxcz Art VisualArt Belfast Exhibition,Derry  Belfast,Arts,
73,259,Bolinwum,"Wrblo davido ewawunmi 

Business Idea The Real Arts Academy RAAC 
For authenticity kindly check on Instagram via this link 
httpstcoiRYebuX

Our Vision is to promote performing arts by fostering creative and critical thinking artistic expression httpstcoSyvsDQ",Lagos Nigeria,Arts,
74,262,AdautoNelinda,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",Ligonier IN,Arts,
75,263,sensinglorna,Another brilliant creative moment today making art with UCLbasc Bachelor of Arts and Sciences students Radical Basculinity Quite RanjitaDhital  httpstcoeyCxSmSlM,The imagination represented,Arts,
76,267,Alpha_salt,"RT PulseSportsNG  days to FOFN 

Come experience the best of Mixed Martial Arts at the FaceOffFightNight 
Powered by the Nigerian",ll let you know ,Arts,
77,275,ALANJARDINE,Al Jardines Endless Summer storytelling show returns to Arizona this Fridayjoin Al amp Matt Jardine at the Higley Center for the Arts in Gilbert  httpstcohexNfsDmvw aljardine mattjardine beachboys music GilbertAZ,Big Sur,Arts,
78,280,USMAN84kg,"RT PulseSportsNG  days to FOFN 

Come experience the best of Mixed Martial Arts at the FaceOffFightNight 
Powered by the Nigerian",,Arts,
79,282,HumAniEyes,RT Wandler Can i See your Arts,Metaverse,Arts,
80,283,YuriTWL,RT mnxxionen Eng Trans The Standard  Arts in Not Me the Series PART  March   httpstcoGCoAsWl,Berlin,Arts,
81,304,SahilkChandio,"RT HIDEOKOJIMAEN 
I received the nd Minister of Education Award for Fine Arts from the Agency of Cultural Affairs Government of J",Multan Pakistan,Arts,
82,312,KAri_20kuni,"KARIKUNI
X
THENJP

Arts are not allowed without permission httpstcoIKlpyesPcG",,Arts,
83,325,earpro1,"RT WalshJames  The Arts Is Alive  Book your Online class Today
Call toll free    Be Inspired Every Week  Study and",Stuart Florida USA,Arts,
84,326,kingston12hifi,RT kingstonhifi CaribPress Da Musiclink and Montu Arts present LA WOMEN UNITE IN REGGAEDancehall Nostalgia Third Edition  Sunday Ma,Los Angeles,Arts,
85,327,Anim3D4D,"RT HIDEOKOJIMAEN 
I received the nd Minister of Education Award for Fine Arts from the Agency of Cultural Affairs Government of J",Home,Arts,
86,328,aliquisnj,Wonderful exhibition at the Muse des BeauxArts de Nice a local artist GustaveAdolphe Mossa Wonderful art noveau and symbolism art Loved the style and palette  Art Museum Mossa ILoveNice Nice CotedAzur France httpstcoRlqCyONw,Helsinki Finland,Arts,
87,335,YankelVision,"RT YankelVision Another work in my new series Muse des Faux Arts 

Faux Art 

 tez
httpstcoTGgEZUvT

AI digital painting",Earthish,Arts,
88,337,JessePrize6,"RT JessePrize A Mind is a Terrible Thing to Waste
I Choose Arts and Science Not WAR

planetprize Jesseprize VIDEOprize Ukriane", FaunaFlora Defender NO TAG,Arts,
89,343,Attamian,RT agbu Violin prodigy Haig Hovsepian is doing his part to help Armenians in need In March  the AGBU Performing Arts Scholarship re,,Arts,
90,345,Darthgreg78,RT LeslieBienen Wow the Portland  Center for the Arts requiring children  and up to mask at Very Hungry Caterpillar This should be cal,In queue,Arts,
91,349,Lillyms1,"RT OilfieldRando Another  million for the National Endowment for the Arts 

Another  million for the National Endowment for the",United States,Arts,
92,350,TheInspireArena,"Arts and Crafts for Ages  on a Monday Evening at The Inspire Arena

Physical Wellbeing Creativity and a place to meet new friends please take a look at the poster for more information 

Weekly Themes to be announced soon httpstcoaSGFNfI",Swaffham England,Arts,
93,351,SpiritofCreati2,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",,Arts,
94,356,CornellAstro,RT CornellCAS Good morning Arts amp Sciences Its CornellGivingDay  your support means more and goes further today So find the area of,Ithaca NY,Arts,
95,362,hbagwell777,Just posted a photo  Bagwell Academy of Martial Arts httpstcoKPPgpijwL,Milfordct,Arts,
96,363,mcrnoid,"RT GemsScope   NFTGiveaway 

Introducing artsdao 
Ethernal Gates by atelierkristel x ArtsDAO

x WL amp  in ETH 

To Ent",Pekan Baru Riau,Arts,
97,364,PhyllisAlbanese,A Russian Ballet Star Opposed to the Ukraine War Quits the Bolshoi By PhyllisAlbanese Arts httpstcoPQLxaqNEa,New York,Arts,
98,365,PhyllisAlbanese,A Celtic Revival in HipHop and More By PhyllisAlbanese Arts httpstcoBqEkckbH,New York,Arts,
99,367,PhyllisAlbanese,Whats in Our Queue Life on Earth and More By PhyllisAlbanese Arts httpstcoJiIpyOUG,New York,Arts,
100,368,PhyllisAlbanese,After MoMA Stabbings Museums Review Their Safety Protocols By PhyllisAlbanese Arts httpstcoypILAXKdt,New York,Arts,
101,369,PhyllisAlbanese,Histories of Travel Segregation and Chinese Migration Win Bancroft Prize By PhyllisAlbanese Arts httpstcolMyzhTVR,New York,Arts,
102,373,DramaInskeep,Great dancing and muscle memory skills  in Theater Arts  today th grade CHeatonPhD MsJAyala HeyMsKooima RyanJWillie aspire AspireLAschools MrRamirezAIA ericajmarquez AiaIsamartinez MrsMHernandez RAEspinoza mrleodaRebel vzometa httpstcoVNrXES,,Arts,
103,378,pororay,RT seimeizu from my understanding op spotted Jaemin at Twosome its a coffee amp dessert shop near Seoul Arts Center its probably the s,,Arts,
104,385,zobjobsUS,"Online Music Sales  Work from Home
at Music And Arts
Work From Home Options Available Must live in Indiana or Utah Do you love music and have a passion for sa
Sales remotejobs musicartsfan
httpstcopqlYrkqt",United States US,Arts,
105,386,amiralifmusicc,"RT Mixboy VIDEO WeeklyUpdateWednesdays Ep  Taxing the Arts amp Entertainment

Why wont the Sgor state govt give the arts scene",Malaysia,Arts,
106,389,AlexaAketzaliHd,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",,Arts,
107,391,Greezyboi1,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",,Arts,
108,395,matchafoam,RT CBCArts Scarborough The Backbone celebrates the dynamic suburb as this place that makes Toronto what it is httpstcoioDLFmOIz,,Arts,
109,397,NFTteamAlpha,"RT cryptoart i will give this Mutating Ape art from Monkey NFT Arts collection  cryptoart 

To somebody who
 RT and LIKE
 F",,Arts,
110,400,IkennaMaduako,"RT ChifeDr NowPlaying 
Sergei Rachmaninov Trio lgiaque No  in G minor
Performed by the Beaux Arts Trio

 filled with the haun",Everywhere ,Arts,
111,407,UZABUMWANA8,RT samuelmunana Had a fruitful discussion with the UniRwanda College of Arts and Social sciences for establishing Rwandan Sign Languag,,Arts,
112,412,_E_Cube," httpstcoGEJBPyX

Its summertime  
Heres my little nieces WatermelonPaperFanArt 
ArtDay  ArtsDay HowTo DIY WatermelonPaperFan Watermelon PaperFan Arts March Summer YouTubeShorts Shorts",Earth,Arts,
113,416,SilentGentlemen,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",,Arts,
114,417,PurdueNorthwest,"These students are giving us a big reason to be PNWProud

These five PNW students will be honored with firstplace awards for their scriptwriting at the Broadcast Education Associations Festival of Media Arts convention in Las Vegas httpstcokPKBmAYSo httpstcosVBAYZEWE",Northwest Indiana,Arts,
115,419,UZABUMWANA8,RT samuelmunana Great progress made today at the UniRwanda College of Arts and Social Sciences in establishing the Rwandan Sign Langu,,Arts,
116,427,Lindawis,"Helen Keller was the first blind and deaf person to achieve a Bachelor of Arts in the United States

Civil rights activist Pauli Murray lived fearlessly at a time when gender nonconforming and queer people like them were forced to hide essential aspects of their identity",Doylestown PA USA,Arts,
117,429,gUeLiToXtArZ,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",Dallas Texas,Arts,
118,438,DeanoAFC76,RT aviatormusicuk This Saturday the brilliant MRobertMurphy headlines ArtsClubHQ for ClubEVOL remaining tickets here httpstcoVN,Broadstairs,Arts,
119,444,iandrealvarez,"RT HtetMyoMyoMaw  Education
Graduation Bachelor degree Faculty of Communication Arts Marketing Communication Branch Rangsit Univer",Mexico City  ,Arts,
120,447,HBGanttCenter,RT ASCCharlotte Want to work in the cultural sector Weve posted new jobs from BlumenthalArts HBGanttCenter and Sarah Belk Gambrell C,Charlotte NC,Arts,
121,459,UMIHGraphicNarr,Shoutout to jocabako for the poster for our Filipino Canadian comics symposium this Friday Cant wait for her forthcoming graphic novel from ClarionBooks httpstcoWImgbOZ httpstcoBEhYHjFR UMArtsFaculty httpstcoeKoArvmlj,,Arts,
122,460,CartoonEj,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",,Arts,
123,462,ThomasH92930020,drbenjaminwilll  And performing Arts near what is for us the beginning of August,Bowlegs Oklahoma,Arts,
124,463,hyrdoxcity,"RT WoodenPlank Mr Arts amp Crafts

smashbros smash smashultimate smashbrosultimate nintendo nintendoswitch kingdomhearts pokemon h",,Arts,
125,466,slimjimnorm,"RT OilfieldRando Another  million for the National Endowment for the Arts 

Another  million for the National Endowment for the",Chicago ,Arts,
126,467,Hyaguy,Job Opportunity for you if you have an interest in serving in the Creative Arts Industry httpstcovxWaBpU,Trinidad and Tobago,Arts,
127,469,Ranjan__datta,"Happening today at PM MST Join here httpstcozuyvvUWjnX 
MRUArts presents the  Distinguished Speaker Dr Alex Wilson httpstcoKPmdDMuDr",Calgary AB Canada,Arts,
128,479,pastelmissy,"RT HIDEOKOJIMAEN 
I received the nd Minister of Education Award for Fine Arts from the Agency of Cultural Affairs Government of J",Kansas City MO,Arts,
129,480,myusername2017,"RT OilfieldRando Another  million for the National Endowment for the Arts 

Another  million for the National Endowment for the",,Arts,
130,484,brushrun,"RT HIDEOKOJIMAEN 
I received the nd Minister of Education Award for Fine Arts from the Agency of Cultural Affairs Government of J",Recife Brazil,Arts,
131,485,RunnerGuitar,AlleycatArts Ooooh I like where this is going,,Arts,
132,490,artywisdom,RT LAHArtsHealth We are so happy to launch our podcast episode with valuingculture TrappedZoneOne artshealthhub AnnaBosworth where we,Brighton UK,Arts,
133,494,Americans4Arts,RT JanetKope Wed Health Benefits of the Arts study link showing how dance helps young people suffering from cerebral palsy ADTAorg N,Washington DC,Arts,
134,499,CLAScomm,April  spend some time with MacArthur Fellow Hanif Abdurraqib httpstcoDmKLoLvP   GV Arts Celebration,Allendale,Arts,
135,160,ReArtistron,"RT ARTEBOOKING Browse art contemporaryart Painting from artist Olivier Valentin 
httpstcojQErkiX",Artistron,Painting,
136,87,boostingart,"RT GaneshPanda My Palette Knife Painting
Acrylic on canvas  inches httpstcooTCFWjJA",Atlanta GA,Painting,
137,131,boostingart,"RT MaryCacciapagl Painting with fiber
fiberarts weaving ArtistOnTwitter httpstcokEKOUYr",Atlanta GA,Painting,
138,168,boostingart,"RT GaneshPanda My Palette Knife Painting
Oil on Canvas  inches httpstcowajLBJGIe",Atlanta GA,Painting,
139,174,boostingart,RT SilkDharmaArt Painting Daniel Garber  httpstcolFzgLptu,Atlanta GA,Painting,
140,19,BBArtMag,"RT PooksOfficial FOR SALE 

Smaug 
Acrylic Painting on Canvas by Pooks 
x
DM if interested
art httpstcoWpULKzWB",Florida USA ISSN  ,Painting,
141,86,BBArtMag,"RT CanadaPaintings Adanna
Billy Bing
 httpstcoFIOcXTZt",Florida USA ISSN  ,Painting,
142,14,Best_Sellers_UK,pcs A xmm Drawing Calligraphy A Painting Tissue Writing Paper paper ad writing poetry novel httpstcoFBLGRPN,,Painting,
143,40,Best_Sellers_UK, Roll White Chinese Art Paper Writing Painting Xuan Paper for Practicing paper ad writing poetry novel httpstcoPTIGPFZfAB,,Painting,
144,90,Best_Sellers_UK, Rolls  Calligraphy Paper Painting DIY Writing Blank Xuan Paper paper ad writing poetry novel httpstcoOcHxOi,,Painting,
145,29,BKieltArtist,Loose beginnings on board Art visualart ArtsNI Painting WorkInProgress WIP PaintingInProgress httpstcouGVHGBfizV,Derry  Belfast,Painting,
146,30,BKieltArtist,Little study finished A New Normal Oil and Charcoal on Canvas Art Painting ArtsNI visualart httpstcorHxnBx,Derry  Belfast,Painting,
147,54,BKieltArtist,A day of blocking in and working out Art visualart ArtsNI Painting httpstcoDTdEPMQKKF,Derry  Belfast,Painting,
148,81,BKieltArtist,Lady of the Manor Finished Painting Art VisualArt ArtsNI OilOnBoard MixedMedia httpstcomcAiyINMI,Derry  Belfast,Painting,
149,84,BKieltArtist,Close up of Lady of the Manor  Painting in progress Art visualart ArtsNI WorkInProgress Portrait Study httpstcoeNtqWtbde,Derry  Belfast,Painting,
150,108,BKieltArtist,Had a great chat with Clinton Kirkpatrick today about our work You can check it out here httpstcoVoKsQsTJ Art Painting ArtsNI,Derry  Belfast,Painting,
151,110,BKieltArtist,Talkart speaking with RalphRugoff haywardgallery Painting  httpstcoJzcMAxOf,Derry  Belfast,Painting,
